coord,addr,name
"[37.49190942150637,127.12631689966165]",서울특별시 송파구 가락동 125-6 ,스타벅스 문정로데오점
"[37.5389812380543,127.12520219100792]",서울특별시 강동구 천호동 455-4 ,스타벅스 천호이마트점
"[37.388101470352346,127.12317524005854]",경기도 성남시 분당구 서현동 254-1 미래에셋빌딩 1층,스타벅스 서현미래에셋점
"[37.5085275650685,127.12667748419851]","서울특별시 송파구 오금동 17-8 1, 2층",스타벅스 방이역점
"[37.26371494334476,127.40764830321348]",경기도 이천시 마장면 목리 산13-32 ,스타벅스 마장휴게소점
"[37.27108202933114,127.12615773842694]",경기도 용인시 기흥구 구갈동 581-1 ,스타벅스 강남대점
"[37.27825687715201,127.44634817039898]",경기도 이천시 중리동 218-5 ,스타벅스 이천터미널점
"[37.385968487163176,127.12595543403975]",경기도 성남시 분당구 서현동 246-1 금화빌딩 1층,스타벅스 서현점
"[37.53885857734378,127.12445680374273]",서울특별시 강동구 천호동 455-8 ,스타벅스 현대천호B1점
"[37.26431437145324,127.4067867514822]",경기도 이천시 마장면 목리,스타벅스마장프리미엄휴게소점
"[37.60691220090754,127.13883625531344]",경기도 구리시 인창동 383-101 1층,스타벅스 구리인창점
"[37.54739808237893,127.10609171050574]",서울특별시 광진구 광장동 329-1 ,스타벅스 광나루점
"[37.605437284456606,127.09583888532825]",서울특별시 중랑구 신내동 563-3 ,스타벅스 중랑구청점
"[37.64797538229737,127.1233247878307]",경기도 남양주시 별내동 1015 ,스타벅스 별내점
"[37.626104916087165,127.09320957658058]",서울특별시 노원구 공릉동 27-38 서울여자대학교 50주년 기념관 1층,스타벅스 서울여대점
"[37.00742025541112,127.27072802019103]",경기도 안성시 대천동 57 ,스타벅스 안성중앙로점
"[37.50719004775739,126.73418478408126]",인천광역시 부평구 삼산동 464-5 ,스타벅스 인천삼산점
"[37.51890812745053,126.73210904261913]",인천광역시 부평구 갈산동 32-2 ,스타벅스 인천갈산DT점
"[37.6001008151589,126.72060838913855]",경기도 김포시 풍무동 620-1 ,스타벅스 김포풍무DT점
"[37.64427089504999,126.66794373416143]",경기도 김포시 장기동 1608 홍우프라자 102~105호,스타벅스 김포장기점
"[37.65430098102581,126.68417405025913]",경기도 김포시 운양동 1298-1 ,스타벅스 김포운양점
"[37.618397992160055,126.71790487651228]",경기도 김포시 사우동 246-6 ,스타벅스 김포시청점
"[37.64412540284939,126.62851465667174]",경기도 김포시 구래동 6880-9 ,스타벅스 김포이마트점
